medicine_name,manufacturer,composition,packaging,price(Rs.)
Pansr 20,Wockhardt,Aspirin (10mg),30 tablets,295.87
Doloplus 500,Sanofi India,pantoprazole(40mg),6 tablets,276.44
Dolotab 40,Dabur Pharma,vitamin d3(40 mg),15 tablets,552.46
Dolods 10,Torrent Pharma,levocetirizine 10 mg,1 bottle,503.1
Dolosol 20,Cipla,Aspirin (40 mg),5 ml,448.95
Omeds 1000,GSK India,Vitamin d3 500 mg,1 bottle,123.46
Panplus 250,Abbott India,cetirizine 40 mg,6 tablets,578.1
Omexr 40,Lupin,metformin 500mg,15 tablets,242.93
Augod 40,Lupin,Sertraline 250 mg,15 tablets,443.11
Amoxcap 40,Wockhardt,Doxycycline (250 mg),5 ml,279.44
Omesr 40,Sanofi India,IBUPROFEN-100mg,10 capsules,249.06
Doloplus 500,Zydus Cadila,Pantoprazole (20 mg),6 tablets,570.85
Amoxxr 1000,Glenmark,Ciprofloxacin (200 mg),10 capsules,532.39
Pansol 10,Sanofi India,Glimepiride 1000  mg,15 tablets,375.25
Omesol 1000,Mankind Pharma,Levothyroxine (500 mg),1 bottle,25.47
Panxr 10,Zydus Cadila,CIPROFLOXACIN-1000mg,5 ml,267.92
Cettab 40,Mankind Pharma,PARACETAMOL-250mg,30 tablets,518.56
Brutab 10,Sanofi India,CLOPIDOGREL-400mg,6 tablets,0.0
Dolosr 500,Sanofi India,PREGABALIN-1000mg,10 tablets,118.58
Doloforte 1000,Aurobindo Pharma,diclofenac(400 mg),30 tablets,86.96
Panforte 500,Hetero Drugs,diclofenac 250mg,1 bottle,376.75
Cetsol 1000,Intas Pharma,gabapentin 40 mg,10 tablets,557.6
Azeexr 20,Mankind Pharma,Gabapentin 200  mg,30 tablets,97.08
Dolotab 1000,Mankind Pharma,Ibuprofen 500 mg,30 tablets,59.74
Augds 1000,Himalaya,Diclofenac (500 mg),15 tablets,356.07
Amoxforte 20,Torrent Pharma,RANITIDINE-20mg,5 ml,390.65
Amoxxr 250,Lupin,FLUOXETINE-10mg,15 tablets,242.85
Cetcap 40,Abbott India,metoprolol 10 mg,15 tablets,476.19
Amoxds 40,Sun Pharma,Amoxicillin (5 mg),10 tablets,72.02
Azeeod 40,Torrent Pharma,zinc sulphate(400 mg),10 tablets,156.63
Azeetab 10,Zydus Cadila,Montelukast (400 mg),1 bottle,
Azeeod 20,Glenmark,Paracetamol (5 mg),10 capsules,524.59
Pansol 500,Lupin,alprazolam(500mg),30 tablets,175.31
Brusol 1000,Cipla,Amoxicillin (400 mg),30 tablets,574.66
Cettab 500,Cipla,fexofenadine(200 mg),6 tablets,599.79
Omecap 1000,Sun Pharma,Methylcobalamin 100 mg,15 tablets,544.18
Dolood 20,Lupin,losartan(20mg),15 tablets,519.46
Azeeplus 20,Sanofi India,tramadol(200mg),5 ml,541.66
Pansol 500,Himalaya,Ranitidine (1000 mg),15 tablets,54.79
Omexr 10,GSK India,esomeprazole 10 mg,6 tablets,217.82
Clavforte 250,Intas Pharma,Cetirizine (5mg),10 capsules,187.5
Dolocin 20,Aurobindo Pharma,Ondansetron (100mg),30 tablets,236.29
Cetsol 250,Zydus Cadila,METHYLCOBALAMIN-250mg,5 ml,287.28
Cetxr 250,Torrent Pharma,Pregabalin 40  mg,10 tablets,536.42
Brutab 20,Glenmark,esomeprazole 40 mg,10 capsules,449.56
Azeesol 1000,Intas Pharma,DOMPERIDONE-200mg,10 tablets,168.61
Clavds 20,Sanofi India,metoprolol(40 mg),30 tablets,81.99
Cetforte 40,Dabur Pharma,Rabeprazole 500  mg,15 tablets,549.9
Bruds 500,Zydus Cadila,TRAMADOL-10mg,15 tablets,57.08
Clavforte 1000,Alkem Labs,losartan(10mg),10 capsules,383.79
Omesr 10,Sanofi India,AMOXICILLIN-40mg,10 tablets,55.75
Bruod 1000,Sun Pharma,methylcobalamin 100mg,15 tablets,166.33
Metod 250,Intas Pharma,Doxycycline (200mg),6 tablets,26.15
Clavcin 10,Wockhardt,Azithromycin 5  mg,1 bottle,257.84
Ometab 40,Cipla,SERTRALINE-40mg,6 tablets,524.51
Azeecap 10,Pfizer India,ALPRAZOLAM-200mg,5 ml,18.56
Metsol 40,Hetero Drugs,sertraline(40 mg),6 tablets,559.99
Amoxcap 1000,Zydus Cadila,vitamin d3(400mg),15 tablets,531.96
Augforte 250,Torrent Pharma,Ranitidine 20  mg,30 tablets,105.59
Amoxds 1000,Dr Reddy,CLONAZEPAM-500mg,10 tablets,0.0
Bruds 10,Abbott India,rabeprazole(5mg),10 capsules,328.88
Clavds 500,Glenmark,Ibuprofen 100 mg,6 tablets,226.16
Metod 500,Aurobindo Pharma,Diclofenac (40 mg),10 capsules,319.52
Omexr 40,Intas Pharma,metformin 20mg,1 bottle,401.78
Omeds 20,Pfizer India,Glimepiride 10  mg,10 capsules,313.93
Amoxforte 20,Glenmark,omeprazole(400mg),10 capsules,87.96
Dolocin 250,Mankind Pharma,Pregabalin 250  mg,15 tablets,374.31
Metds 20,Aurobindo Pharma,METHYLCOBALAMIN-10mg,6 tablets,232.41
Augds 40,Himalaya,Methylcobalamin 40  mg,10 tablets,381.94
Pantab 40,Lupin,ibuprofen(500mg),10 tablets,159.27
Omeforte 10,Mankind Pharma,Levocetirizine 500 mg,30 tablets,199.43
Omecin 40,Aurobindo Pharma,vitamin d3(500mg),1 bottle,0.0
Amoxcap 40,GSK India,losartan(500 mg),15 tablets,111.3
Cetod 1000,Wockhardt,Glimepiride 200  mg,30 tablets,491.14
Augcap 40,Lupin,Rosuvastatin 10 mg,10 capsules,204.48
Brusr 1000,Glenmark,LOSARTAN-5mg,15 tablets,407.9
Dolods 10,Aurobindo Pharma,DOXYCYCLINE-200mg,5 ml,199.02
Amoxcin 10,Dabur Pharma,Montelukast 200  mg,10 tablets,548.18
Clavod 250,Wockhardt,Ranitidine (5 mg),10 tablets,292.97
Omesr 250,GSK India,levocetirizine 40 mg,15 tablets,452.41
Metcin 500,Sanofi India,Esomeprazole 1000  mg,6 tablets,98.95
Azeesr 40,Hetero Drugs,METHYLCOBALAMIN-500mg,30 tablets,443.67
Pansr 500,Dr Reddy,paracetamol(40 mg),6 tablets,317.37
Omecap 40,Wockhardt,tramadol 1000 mg,6 tablets,232.3
Clavxr 500,Abbott India,Calcium carbonate 5 mg,10 tablets,517.49
Panod 1000,Himalaya,MONTELUKAST-200mg,5 ml,45.67
Brusol 10,Cipla,Ondansetron (5mg),6 tablets,93.9
Pansr 20,Aurobindo Pharma,Metformin (500 mg),30 tablets,281.69
Metforte 500,Lupin,metformin(100mg),10 tablets,525.2
Cetod 1000,Mankind Pharma,aspirin 10 mg,1 bottle,351.8
Azeeod 20,Hetero Drugs,sertraline 500mg,30 tablets,0.0
Clavod 250,Dabur Pharma,omeprazole(40mg),1 bottle,200.79
Metsol 40,Zydus Cadila,Sertraline (250mg),10 capsules,496.62
Amoxxr 250,GSK India,ALPRAZOLAM-200mg,5 ml,100.71
Augtab 40,Hetero Drugs,Gabapentin (100mg),1 bottle,88.16
Clavforte 10,Dr Reddy,telmisartan 40mg,6 tablets,453.71
Cetsol 40,Dabur Pharma,esomeprazole(250 mg),15 tablets,226.21
Brusol 250,Sun Pharma,Levothyroxine 400  mg,5 ml,472.03
Azeesr 20,Hetero Drugs,RANITIDINE-400mg,15 tablets,370.58
Augcap 10,Wockhardt,domperidone(500 mg),30 tablets,319.54
Pansr 40,Hetero Drugs,telmisartan 10 mg,30 tablets,97.33
Pands 20,Hetero Drugs,paracetamol(10mg),6 tablets,37.08
Omecin 1000,Glenmark,Montelukast (500 mg),10 capsules,321.63
Amoxplus 10,Dabur Pharma,Pregabalin 10  mg,1 bottle,265.66
Bruplus 10,Alkem Labs,Pregabalin 10  mg,5 ml,459.57
Clavxr 500,Torrent Pharma,Montelukast 20  mg,6 tablets,125.59
Omeod 250,Mankind Pharma,Metoprolol 20 mg,10 capsules,212.2
Dolocin 1000,Abbott India,Doxycycline 400  mg,30 tablets,578.47
Brucin 20,GSK India,levothyroxine 250mg,15 tablets,291.09
Augsr 500,Hetero Drugs,pantoprazole 1000mg,10 capsules,
Azeetab 10,Lupin,gabapentin(250 mg),10 capsules,452.81
Augds 20,Alkem Labs,rabeprazole 10 mg,10 capsules,215.24
Mettab 40,Pfizer India,calcium carbonate 500 mg,10 tablets,370.35
Clavforte 500,Wockhardt,Calcium Carbonate (1000 mg),15 tablets,208.66
Cetsol 20,Mankind Pharma,Telmisartan 400 mg,10 tablets,170.31
Azeesr 1000,Himalaya,atorvastatin(1000mg),5 ml,229.0
Pancin 1000,Dabur Pharma,CIPROFLOXACIN-20mg,10 tablets,356.8
Azeeforte 1000,Aurobindo Pharma,AZITHROMYCIN-20mg,30 tablets,27.19
Brucap 40,Mankind Pharma,ciprofloxacin 200mg,30 tablets,445.72
Bruforte 500,Cipla,DOMPERIDONE-400mg,5 ml,127.69
Azeecin 20,Himalaya,esomeprazole 40 mg,6 tablets,242.4
Azeesr 40,Sanofi India,Azithromycin (1000 mg),1 bottle,200.53
Brusol 250,Alkem Labs,Pregabalin 20 mg,1 bottle,356.09
Panod 10,Aurobindo Pharma,Alprazolam 400 mg,1 bottle,397.15
Amoxplus 1000,Cipla,Levothyroxine (250 mg),6 tablets,399.76
Omecin 10,Sun Pharma,ondansetron(40mg),6 tablets,370.4
Azeecap 1000,Zydus Cadila,metoprolol 1000 mg,1 bottle,179.47
Ometab 10,Wockhardt,montelukast 1000mg,1 bottle,269.71
Omeod 20,Glenmark,diclofenac 40mg,10 capsules,0.0
Doloforte 500,Sun Pharma,alprazolam 5 mg,1 bottle,416.88
Bruds 500,GSK India,ondansetron(250 mg),15 tablets,
Metcin 10,Dr Reddy,tramadol 250mg,5 ml,366.76
Azeesol 20,Glenmark,Amlodipine (400 mg),1 bottle,0.0
Augod 20,Glenmark,ranitidine(40 mg),15 tablets,464.38
Augtab 10,Dr Reddy,methylcobalamin 40mg,15 tablets,150.87
Azeesol 250,Sanofi India,Domperidone (200 mg),30 tablets,249.53
Augcap 500,Lupin,doxycycline(10 mg),1 bottle,325.15
Dolood 1000,GSK India,Amoxicillin 1000  mg,30 tablets,273.75
Augsr 40,Sun Pharma,Levothyroxine (100mg),30 tablets,85.46
Azeeds 250,Dabur Pharma,ranitidine(250 mg),6 tablets,23.27
Dolosr 20,Zydus Cadila,Levothyroxine 5  mg,15 tablets,180.84
Amoxtab 250,Sun Pharma,metoprolol(500mg),15 tablets,477.44
Bruxr 250,Abbott India,tramadol(100mg),10 tablets,317.61
Bruxr 250,Hetero Drugs,azithromycin 1000mg,6 tablets,144.73
Amoxforte 20,Cipla,Diclofenac (500 mg),10 tablets,186.11
Clavod 40,Sun Pharma,Amlodipine 20 mg,1 bottle,29.99
Dolods 250,Wockhardt,montelukast 400mg,6 tablets,552.83
Augcap 500,Aurobindo Pharma,DOXYCYCLINE-400mg,30 tablets,188.21
Metsol 1000,Sanofi India,Cetirizine (40 mg),6 tablets,46.26
Bruxr 40,Dabur Pharma,ranitidine 200mg,6 tablets,154.69
Azeecin 1000,Alkem Labs,amoxicillin 200mg,10 capsules,423.27
Dolotab 1000,Mankind Pharma,Gabapentin 10  mg,5 ml,14.07
Augsol 250,Himalaya,diclofenac(500mg),10 capsules,0.0
Azeeds 250,Aurobindo Pharma,Vitamin D3 (5 mg),1 bottle,0.0
Cetds 250,Dabur Pharma,Gabapentin 100 mg,10 tablets,223.98
Augsol 250,Zydus Cadila,Losartan 10  mg,30 tablets,99.63
Augxr 500,Himalaya,Amlodipine 20  mg,10 capsules,464.0
Augplus 1000,Himalaya,Vitamin d3 500  mg,30 tablets,0.0
Augsol 40,Pfizer India,methylcobalamin(5 mg),10 tablets,138.52
Brutab 1000,Torrent Pharma,Cetirizine (10 mg),15 tablets,501.89
Omeforte 500,Torrent Pharma,Levocetirizine (250 mg),30 tablets,262.64
Clavplus 40,Wockhardt,alprazolam(20mg),6 tablets,591.73
Panplus 20,Pfizer India,METHYLCOBALAMIN-10mg,10 capsules,307.54
Metod 10,Alkem Labs,calcium carbonate(5mg),1 bottle,559.1
Augplus 40,Sun Pharma,Ranitidine 40  mg,6 tablets,408.12
Omesol 1000,Wockhardt,TELMISARTAN-250mg,6 tablets,121.24
Brucap 250,Alkem Labs,rabeprazole(1000mg),15 tablets,131.03
Doloplus 500,Sun Pharma,Esomeprazole (500 mg),10 capsules,523.47
Azeeds 40,Hetero Drugs,Sertraline (250 mg),1 bottle,44.56
Augtab 500,Pfizer India,Clonazepam (40mg),15 tablets,
Metcap 10,Sanofi India,Ranitidine 5 mg,10 tablets,286.16
Brusr 1000,Pfizer India,Levocetirizine 20 mg,6 tablets,265.18
Bruds 10,Intas Pharma,alprazolam(10mg),5 ml,386.98
Clavsol 250,Torrent Pharma,metoprolol 200 mg,10 capsules,127.14
Amoxod 250,Wockhardt,Fluoxetine 40 mg,10 capsules,546.62
Cetcin 500,Alkem Labs,fexofenadine(20 mg),5 ml,52.78
Panforte 500,Pfizer India,Doxycycline 10 mg,10 capsules,187.02
Dolotab 20,Alkem Labs,GABAPENTIN-400mg,10 tablets,17.31
Azeecin 250,Wockhardt,PARACETAMOL-40mg,15 tablets,523.81
Doloplus 40,Dr Reddy,ZINC SULPHATE-500mg,10 tablets,537.3
Omeforte 20,Abbott India,Cetirizine 500  mg,30 tablets,0.0
Cetsol 40,Sanofi India,Rabeprazole (10 mg),1 bottle,0.0
Cetcap 1000,Wockhardt,ONDANSETRON-500mg,6 tablets,518.79
Azeecap 10,Lupin,amlodipine 20mg,6 tablets,577.31
Omecin 20,Wockhardt,Aspirin (250 mg),15 tablets,179.14
Cetod 20,Sun Pharma,Zinc sulphate 200  mg,1 bottle,46.06
Bruforte 250,Sanofi India,Rosuvastatin 40 mg,1 bottle,588.53
Pansr 500,Lupin,ONDANSETRON-400mg,30 tablets,286.86
Pansol 20,Alkem Labs,tramadol 1000mg,10 capsules,13.93
Pansr 250,Mankind Pharma,Metformin 250  mg,1 bottle,382.43
Augod 20,Glenmark,fluoxetine(100mg),6 tablets,432.03
Azeetab 1000,Pfizer India,ATORVASTATIN-400mg,15 tablets,564.06
Cetforte 1000,Himalaya,DOXYCYCLINE-40mg,1 bottle,30.01
Doloplus 500,GSK India,aspirin 400 mg,5 ml,387.4
Azeecin 250,Torrent Pharma,montelukast(500 mg),1 bottle,289.53
Bruod 20,Alkem Labs,Ranitidine 200 mg,1 bottle,151.37
Metds 10,Glenmark,esomeprazole 250mg,10 capsules,0.0
Pansol 250,Dabur Pharma,Fluoxetine (20 mg),10 capsules,270.73
Azeecin 1000,Himalaya,atorvastatin 400mg,6 tablets,122.22
Pantab 250,Wockhardt,esomeprazole(10 mg),30 tablets,57.37
Panxr 500,Glenmark,ZINC SULPHATE-5mg,15 tablets,591.84
Amoxcap 10,Aurobindo Pharma,Methylcobalamin (5mg),6 tablets,243.98
Cetsol 250,Cipla,rabeprazole 10mg,10 capsules,12.62
Amoxcin 1000,Glenmark,azithromycin 200 mg,1 bottle,459.35
Pancin 1000,Dr Reddy,esomeprazole(250mg),10 capsules,252.54
Clavforte 250,Abbott India,Rosuvastatin 40 mg,30 tablets,287.33
Cetds 10,Sun Pharma,LOSARTAN-10mg,15 tablets,291.53
Clavcap 500,Mankind Pharma,Levothyroxine (10 mg),30 tablets,224.87
Augtab 10,Cipla,omeprazole(100mg),30 tablets,207.58
Omeforte 20,Mankind Pharma,zinc sulphate 40 mg,1 bottle,283.04
Mettab 10,Novartis India,Clonazepam 10 mg,5 ml,582.72
Amoxtab 500,Mankind Pharma,omeprazole 1000mg,6 tablets,181.32
Omesol 10,Pfizer India,Esomeprazole 100 mg,15 tablets,52.02
Bruxr 20,Sun Pharma,losartan(1000mg),6 tablets,198.14
Pansol 1000,GSK India,metformin 400 mg,6 tablets,12.4
Panxr 250,Dr Reddy,Omeprazole 40  mg,1 bottle,130.13
Omeds 40,Novartis India,AMLODIPINE-20mg,15 tablets,498.32
Doloxr 1000,Himalaya,Aspirin 250  mg,1 bottle,15.23
Pansr 20,Aurobindo Pharma,LEVOTHYROXINE-100mg,6 tablets,493.38
Cetplus 40,Alkem Labs,azithromycin 10 mg,30 tablets,426.76
Bruxr 500,Intas Pharma,losartan 40 mg,6 tablets,170.65
Ometab 10,Intas Pharma,Ciprofloxacin 500 mg,15 tablets,552.97
Cetsol 1000,Glenmark,Clonazepam (500 mg),10 capsules,552.26
Dolosol 500,Wockhardt,atorvastatin 40 mg,30 tablets,66.34
Doloplus 250,Wockhardt,Vitamin D3 (250 mg),10 tablets,64.91
Mettab 40,Wockhardt,cetirizine 400mg,6 tablets,15.03
Dolosr 40,Wockhardt,amoxicillin(40 mg),10 capsules,230.44
Doloplus 40,Torrent Pharma,Clonazepam (400mg),10 tablets,175.82
Clavsr 500,Hetero Drugs,ASPIRIN-200mg,6 tablets,
Dolosol 250,Zydus Cadila,fexofenadine 5 mg,5 ml,402.13
Clavsol 10,Sun Pharma,levothyroxine 500mg,5 ml,18.98
Augplus 40,Himalaya,levothyroxine(1000 mg),6 tablets,18.57
Dolosr 20,Cipla,ibuprofen 250 mg,10 capsules,98.67
Brusol 40,Sanofi India,Metoprolol 1000  mg,10 tablets,528.23
Clavforte 1000,Lupin,Glimepiride 1000 mg,10 tablets,28.86
Clavcin 20,Sanofi India,Rabeprazole 40 mg,6 tablets,586.43
Omecap 40,Alkem Labs,metformin(1000 mg),10 tablets,494.43
Cetsol 500,Zydus Cadila,calcium carbonate(20mg),5 ml,573.7
Metds 1000,Sun Pharma,fluoxetine 20mg,5 ml,566.18
Metplus 500,Torrent Pharma,Ranitidine (20 mg),10 tablets,302.11
Augplus 500,Abbott India,Domperidone 250  mg,6 tablets,545.66
Pansr 20,Torrent Pharma,metoprolol(250mg),15 tablets,149.17
Clavplus 500,Dabur Pharma,Alprazolam (20 mg),6 tablets,210.69
Panod 1000,Abbott India,methylcobalamin 20mg,5 ml,220.47
Bruplus 40,Dabur Pharma,fluoxetine(40 mg),15 tablets,471.95
Omexr 40,Abbott India,ROSUVASTATIN-20mg,10 capsules,472.65
Omesol 40,Lupin,omeprazole 400mg,10 tablets,130.83
Amoxxr 20,Mankind Pharma,Domperidone (500 mg),5 ml,173.12
Cetcap 500,Alkem Labs,GLIMEPIRIDE-10mg,15 tablets,514.81
Clavplus 500,GSK India,aspirin 5 mg,10 tablets,354.18
Azeesol 10,Novartis India,paracetamol 5 mg,1 bottle,373.84
Brucin 20,Mankind Pharma,azithromycin(10 mg),15 tablets,11.86
Mettab 10,Lupin,diclofenac 1000mg,10 capsules,506.73
Metsr 40,Novartis India,GABAPENTIN-400mg,10 tablets,172.76
Metsr 250,Lupin,Ciprofloxacin (400 mg),15 tablets,405.32
Augsr 250,Intas Pharma,montelukast 500 mg,10 tablets,17.18
Metplus 20,Zydus Cadila,levothyroxine(5 mg),5 ml,436.34
Metds 1000,Himalaya,IBUPROFEN-400mg,6 tablets,42.31
Azeecap 1000,GSK India,Gabapentin 200 mg,10 capsules,313.14
Dolosol 500,Intas Pharma,Atorvastatin 500  mg,10 tablets,
Brusol 500,Cipla,Levocetirizine 10  mg,6 tablets,61.64
Dolosol 250,Himalaya,Fexofenadine (1000mg),30 tablets,360.22
Augod 250,Abbott India,Domperidone (200mg),1 bottle,0.0
Brutab 20,Alkem Labs,doxycycline(40 mg),10 tablets,351.78
Augcap 250,Zydus Cadila,glimepiride(500 mg),10 tablets,239.56
Amoxsr 500,Wockhardt,montelukast 20mg,10 capsules,95.28
Clavcin 1000,Zydus Cadila,metformin 10 mg,10 capsules,432.17
Augcap 40,Sun Pharma,DICLOFENAC-10mg,5 ml,439.13
Dolocin 20,Glenmark,CALCIUM CARBONATE-250mg,6 tablets,66.44
Bruforte 40,Torrent Pharma,levocetirizine 400 mg,30 tablets,272.45
Cetcin 1000,Torrent Pharma,Gabapentin 1000 mg,30 tablets,162.1
Amoxcin 20,Wockhardt,omeprazole 500 mg,1 bottle,0.0
Clavsol 250,Dabur Pharma,ondansetron 40 mg,6 tablets,0.0
Panforte 40,Intas Pharma,Ciprofloxacin (200mg),5 ml,0.0
Amoxplus 10,Dr Reddy,sertraline(250mg),5 ml,
Panplus 40,Intas Pharma,Metformin (250mg),10 tablets,252.11
Azeesr 1000,Alkem Labs,tramadol(1000 mg),30 tablets,108.87
Amoxxr 10,Zydus Cadila,pregabalin(200 mg),5 ml,87.65
Dolotab 250,GSK India,Domperidone (5 mg),10 capsules,592.74
Dolocin 20,Mankind Pharma,cetirizine 1000 mg,6 tablets,407.62
Pansr 250,Lupin,IBUPROFEN-100mg,30 tablets,467.32
Omecin 40,Aurobindo Pharma,Telmisartan 40  mg,15 tablets,577.75
Augcin 500,Pfizer India,aspirin(10mg),1 bottle,222.44
Clavxr 1000,Torrent Pharma,alprazolam 200mg,1 bottle,224.36
Azeesol 500,Dr Reddy,ranitidine 200mg,6 tablets,309.03
Amoxsr 40,Torrent Pharma,ASPIRIN-20mg,6 tablets,360.65
Amoxplus 20,Dr Reddy,tramadol(250 mg),6 tablets,546.42
Azeeplus 10,Aurobindo Pharma,paracetamol 200 mg,30 tablets,146.9
Pansr 500,GSK India,glimepiride(400 mg),10 capsules,291.22
Metsr 20,Himalaya,sertraline 10 mg,1 bottle,34.81
Azeesr 250,Lupin,rosuvastatin(10mg),5 ml,258.69
Bruxr 250,Pfizer India,Montelukast 20  mg,1 bottle,417.71
Amoxcap 1000,Aurobindo Pharma,DOMPERIDONE-500mg,5 ml,349.5
Pands 1000,GSK India,diclofenac(10 mg),5 ml,256.91
Metod 40,Wockhardt,azithromycin 250mg,6 tablets,405.18
Omeplus 250,GSK India,Montelukast 200 mg,1 bottle,218.42
Omeforte 1000,Sun Pharma,metformin 20mg,6 tablets,577.92
Dolocap 1000,Pfizer India,zinc sulphate 400 mg,5 ml,238.55
Dolosr 10,Hetero Drugs,telmisartan 400 mg,30 tablets,565.8
Panforte 250,Torrent Pharma,doxycycline 400mg,15 tablets,599.81
Augcap 20,GSK India,PARACETAMOL-20mg,6 tablets,378.02
Augcin 40,Sanofi India,rabeprazole 200 mg,10 capsules,336.75
Bruxr 20,Sun Pharma,Pantoprazole 10  mg,15 tablets,327.86
Cetod 1000,Torrent Pharma,tramadol 10 mg,10 capsules,124.36
Metsr 10,Wockhardt,Sertraline (1000 mg),30 tablets,523.44
Amoxod 250,Lupin,Amlodipine 200 mg,1 bottle,355.16
Augcap 1000,Sun Pharma,fexofenadine 200 mg,5 ml,367.57
Augds 250,Wockhardt,calcium carbonate 1000mg,10 capsules,292.37
Metsol 40,Sanofi India,Sertraline (500mg),10 tablets,
Bruod 40,Abbott India,doxycycline 40 mg,15 tablets,111.95
Bruod 40,Dr Reddy,Cetirizine (400 mg),6 tablets,216.66
Pansol 250,Wockhardt,ranitidine 200 mg,30 tablets,594.62
Clavforte 250,Wockhardt,calcium carbonate 10mg,30 tablets,
Clavxr 10,Cipla,domperidone(400mg),30 tablets,410.55
Metsr 1000,Alkem Labs,doxycycline 200 mg,10 capsules,529.28
Brusol 10,Sanofi India,glimepiride(40mg),30 tablets,433.95
Cetsr 10,Sun Pharma,LEVOTHYROXINE-500mg,5 ml,475.88
Cetforte 250,Dr Reddy,TRAMADOL-200mg,1 bottle,569.68
Amoxplus 40,Dabur Pharma,fexofenadine(20 mg),15 tablets,466.22
Augod 500,Pfizer India,metoprolol(1000 mg),5 ml,442.41
Augcap 20,Sanofi India,TELMISARTAN-1000mg,1 bottle,296.66
Augxr 40,Intas Pharma,Rabeprazole (1000mg),10 tablets,524.22
Amoxtab 40,Mankind Pharma,zinc sulphate 1000 mg,5 ml,195.51
Amoxtab 40,Intas Pharma,Metformin (20mg),10 tablets,538.32
Metsr 250,Torrent Pharma,atorvastatin(20mg),15 tablets,593.12
Metforte 1000,Dabur Pharma,clonazepam 10mg,1 bottle,25.74
Dolods 1000,Lupin,Atorvastatin (1000mg),6 tablets,226.67
Pantab 40,Cipla,Omeprazole 400 mg,6 tablets,418.29
Augsol 250,Sun Pharma,Diclofenac 500  mg,5 ml,117.45
Clavsr 40,Alkem Labs,Diclofenac 5 mg,15 tablets,398.11
Brucap 250,Himalaya,paracetamol 10mg,15 tablets,497.63
Brutab 500,Sun Pharma,pantoprazole 40mg,10 tablets,318.34
Dolotab 1000,Cipla,Vitamin d3 10  mg,15 tablets,155.73
Azeecin 250,Dr Reddy,Telmisartan (40 mg),5 ml,574.46
Dolood 40,Lupin,Levothyroxine (400mg),10 capsules,248.62
Clavxr 10,GSK India,ondansetron 5mg,1 bottle,37.41
Dolocin 1000,Glenmark,CLOPIDOGREL-1000mg,1 bottle,108.13
Azeexr 250,Torrent Pharma,metformin(1000 mg),6 tablets,469.97
Augtab 250,Mankind Pharma,losartan(10mg),1 bottle,185.66
Omeod 10,Novartis India,rabeprazole 500mg,10 tablets,405.33
Augds 10,Mankind Pharma,fluoxetine(500mg),1 bottle,511.36
Cetod 1000,Intas Pharma,Telmisartan (100mg),30 tablets,461.33
Dolocin 250,Cipla,ibuprofen(5 mg),6 tablets,202.42
Amoxod 10,Wockhardt,ALPRAZOLAM-10mg,10 capsules,33.46
Pansr 10,Intas Pharma,Methylcobalamin (5 mg),15 tablets,398.4
Metxr 1000,Dr Reddy,amoxicillin(10 mg),30 tablets,349.45
Omecin 1000,Wockhardt,Calcium carbonate 20  mg,6 tablets,156.93
Pantab 40,GSK India,Levothyroxine (500mg),1 bottle,500.37
Augds 1000,Sun Pharma,Azithromycin (400 mg),1 bottle,113.98
Brusr 10,Sanofi India,Tramadol (10 mg),6 tablets,481.09
Metplus 20,Novartis India,OMEPRAZOLE-40mg,5 ml,
Augcap 40,Hetero Drugs,Vitamin D3 (20mg),15 tablets,223.22
Clavtab 500,Cipla,fexofenadine 20 mg,10 capsules,0.0
Augxr 20,Intas Pharma,vitamin d3 200 mg,6 tablets,442.83
Brucap 250,Mankind Pharma,IBUPROFEN-1000mg,30 tablets,323.01
Augcin 250,Zydus Cadila,Pregabalin (400 mg),30 tablets,511.14
Metforte 1000,Pfizer India,METFORMIN-1000mg,10 tablets,374.48
Omexr 40,Pfizer India,Levothyroxine 10 mg,1 bottle,252.7
Pancap 1000,Alkem Labs,Rosuvastatin 400  mg,1 bottle,152.13
Cetforte 1000,Dabur Pharma,Domperidone (20mg),15 tablets,220.88
Clavsr 20,Torrent Pharma,ibuprofen(1000 mg),10 tablets,482.05
Amoxtab 250,Novartis India,Pregabalin (40 mg),15 tablets,589.49
Metod 500,Sanofi India,levothyroxine 400 mg,30 tablets,573.16
Azeeod 40,Wockhardt,metformin 400mg,10 tablets,512.73
Dolood 250,Abbott India,rabeprazole(200mg),1 bottle,176.5
Amoxsr 250,Abbott India,metformin(250 mg),10 tablets,82.88
Omesol 250,Torrent Pharma,Pantoprazole 20  mg,30 tablets,413.89
Augforte 1000,Novartis India,metformin(10mg),30 tablets,293.46
Amoxcin 10,Mankind Pharma,paracetamol 400 mg,1 bottle,102.67
Metcap 250,Hetero Drugs,PARACETAMOL-20mg,30 tablets,227.31
Metforte 500,Cipla,atorvastatin 250 mg,10 tablets,157.71
Dolotab 500,Hetero Drugs,Pregabalin 5  mg,10 tablets,590.16
Dolotab 1000,Sanofi India,Clonazepam (200mg),10 tablets,0.0
Dolotab 1000,Cipla,paracetamol 40 mg,30 tablets,261.27
Clavcap 10,Wockhardt,Doxycycline 20 mg,6 tablets,340.56
Clavsol 250,Pfizer India,diclofenac(400mg),5 ml,343.87
Brusol 10,Cipla,Doxycycline 500 mg,30 tablets,488.23
Amoxod 250,Alkem Labs,Azithromycin 5 mg,10 capsules,89.05
Clavplus 500,Wockhardt,ATORVASTATIN-200mg,1 bottle,262.96
Clavplus 1000,Glenmark,domperidone 1000mg,6 tablets,571.78
