medicine_name,manufacturer,composition,packaging,price,cleaned_composition,manufacturer_enc
Clavsol 40,Aurobindo Pharma,METOPROLOL-5mg,30 tablets,137.36,metoprolol 5mg,2
Brucin 500,Dr Reddy,Zinc sulphate 1000 mg,5 ml,127.78,zinc sulphate 1000mg,5
Amoxtab 20,Hetero Drugs,ciprofloxacin(500mg),30 tablets,392.86,ciprofloxacin 500mg,8
Clavsol 250,Sun Pharma,FEXOFENADINE-500mg,6 tablets,139.73,fexofenadine 500mg,16
Brusr 40,Himalaya,Pantoprazole (1000mg),15 tablets,586.05,pantoprazole 1000mg,9
Bruforte 10,Abbott India,Tramadol 20  mg,5 ml,231.47,tramadol 20mg,0
Omeod 1000,Torrent Pharma,ZINC SULPHATE-500mg,10 capsules,485.11,zinc sulphate 500mg,17
Clavsol 20,Zydus Cadila,Azithromycin (10mg),1 bottle,194.56,azithromycin 10mg,19
Omesol 1000,Abbott India,GABAPENTIN-20mg,15 tablets,409.8,gabapentin 20mg,0
Pancap 10,Sun Pharma,clonazepam 250 mg,1 bottle,156.24,clonazepam 250mg,16
Omeforte 40,Pfizer India,Fexofenadine 250 mg,30 tablets,599.45,fexofenadine 250mg,14
Bruplus 20,Mankind Pharma,Alprazolam 40  mg,10 tablets,590.57,alprazolam 40mg,12
Pancap 20,Pfizer India,amlodipine(20 mg),15 tablets,174.87,amlodipine 20mg,14
Pancap 500,Mankind Pharma,sertraline 40mg,6 tablets,446.39,sertraline 40mg,12
Omecap 1000,Pfizer India,Zinc sulphate 5 mg,5 ml,331.35,zinc sulphate 5mg,14
Clavforte 250,Himalaya,pregabalin(1000mg),30 tablets,235.38,pregabalin 1000mg,9
Bruplus 1000,Glenmark,atorvastatin 200 mg,5 ml,264.07,atorvastatin 200mg,7
Dolocap 1000,Torrent Pharma,Vitamin D3 (250mg),10 tablets,524.83,vitamin d3 250mg,17
Doloplus 10,Novartis India,Clonazepam 1000  mg,30 tablets,535.22,clonazepam 1000mg,13
Pantab 40,Hetero Drugs,sertraline(40 mg),5 ml,186.35,sertraline 40mg,8
Pansr 500,GSK India,Montelukast 1000 mg,6 tablets,167.75,montelukast 1000mg,6
Amoxcin 40,Lupin,Aspirin 10 mg,15 tablets,296.5,aspirin 10mg,11
Dolocap 10,Hetero Drugs,omeprazole 1000 mg,1 bottle,212.42,omeprazole 1000mg,8
Azeeforte 250,Aurobindo Pharma,domperidone(20mg),1 bottle,576.01,domperidone 20mg,2
Dolosr 250,Dr Reddy,ondansetron(5 mg),30 tablets,418.0,ondansetron 5mg,5
Clavplus 250,Wockhardt,Levocetirizine 1000 mg,10 capsules,342.88,levocetirizine 1000mg,18
Clavforte 1000,Sun Pharma,Rabeprazole 200 mg,30 tablets,78.7,rabeprazole 200mg,16
Brusol 500,Himalaya,ATORVASTATIN-400mg,30 tablets,85.97,atorvastatin 400mg,9
Brutab 20,Aurobindo Pharma,alprazolam 20mg,10 capsules,84.17,alprazolam 20mg,2
Bruod 10,Intas Pharma,Fexofenadine 200  mg,10 capsules,335.64,fexofenadine 200mg,10
Brusol 250,Dr Reddy,ALPRAZOLAM-10mg,10 capsules,213.72,alprazolam 10mg,5
Dolood 40,Mankind Pharma,doxycycline(1000 mg),15 tablets,54.52,doxycycline 1000mg,12
Clavcin 250,Intas Pharma,Azithromycin 20 mg,1 bottle,296.81,azithromycin 20mg,10
Brusol 10,Sanofi India,calcium carbonate(1000mg),5 ml,597.75,calcium carbonate 1000mg,15
Brucap 500,Aurobindo Pharma,ESOMEPRAZOLE-500mg,10 tablets,122.05,esomeprazole 500mg,2
Doloxr 20,GSK India,sertraline 5mg,1 bottle,441.0,sertraline 5mg,6
Pansol 40,Intas Pharma,Montelukast (1000mg),10 tablets,102.33,montelukast 1000mg,10
Augplus 40,Mankind Pharma,amlodipine(100mg),6 tablets,592.28,amlodipine 100mg,12
Omeds 20,Wockhardt,amlodipine 400mg,10 tablets,416.78,amlodipine 400mg,18
Azeexr 500,Himalaya,Gabapentin 250 mg,30 tablets,399.5,gabapentin 250mg,9
Metxr 40,Aurobindo Pharma,Doxycycline 1000  mg,1 bottle,434.26,doxycycline 1000mg,2
Mettab 40,Alkem Labs,ciprofloxacin 40 mg,30 tablets,126.91,ciprofloxacin 40mg,1
Omeod 40,Wockhardt,amlodipine 20 mg,1 bottle,210.64,amlodipine 20mg,18
Augds 250,Aurobindo Pharma,aspirin 500mg,10 capsules,278.0,aspirin 500mg,2
Clavplus 20,Intas Pharma,ONDANSETRON-250mg,5 ml,365.35,ondansetron 250mg,10
Cetcin 40,Sanofi India,CALCIUM CARBONATE-5mg,10 capsules,51.71,calcium carbonate 5mg,15
Omesol 10,Torrent Pharma,Diclofenac 40  mg,10 capsules,437.72,diclofenac 40mg,17
Cetxr 250,Sanofi India,LEVOCETIRIZINE-500mg,15 tablets,505.09,levocetirizine 500mg,15
Azeeplus 20,Himalaya,METHYLCOBALAMIN-250mg,30 tablets,468.99,methylcobalamin 250mg,9
Bruxr 250,GSK India,Losartan 250  mg,5 ml,435.32,losartan 250mg,6
Panod 250,Sun Pharma,fexofenadine 250 mg,5 ml,420.88,fexofenadine 250mg,16
Augcin 10,Dr Reddy,azithromycin 200 mg,15 tablets,234.65,azithromycin 200mg,5
Omecap 250,Novartis India,ciprofloxacin(5mg),10 tablets,456.94,ciprofloxacin 5mg,13
Pansol 40,Pfizer India,SERTRALINE-10mg,15 tablets,270.73,sertraline 10mg,14
Mettab 10,Alkem Labs,Losartan 1000  mg,10 capsules,156.74,losartan 1000mg,1
Azeesr 40,Novartis India,Clopidogrel 200 mg,6 tablets,580.42,clopidogrel 200mg,13
Omecin 500,Wockhardt,rosuvastatin(5 mg),10 capsules,203.67,rosuvastatin 5mg,18
Doloplus 10,Wockhardt,Vitamin d3 40 mg,15 tablets,468.19,vitamin d3 40mg,18
Pantab 1000,Cipla,methylcobalamin(250 mg),30 tablets,236.57,methylcobalamin 250mg,3
Clavcin 250,Sun Pharma,Tramadol (250mg),10 tablets,274.84,tramadol 250mg,16
Amoxsr 1000,Abbott India,Losartan 1000  mg,6 tablets,152.45,losartan 1000mg,0
Omesol 250,Dabur Pharma,methylcobalamin(500mg),30 tablets,348.03,methylcobalamin 500mg,4
Omesol 250,Abbott India,fluoxetine(1000mg),15 tablets,215.29,fluoxetine 1000mg,0
Omeod 40,Dr Reddy,losartan 40mg,10 tablets,32.77,losartan 40mg,5
Clavplus 250,Mankind Pharma,paracetamol 200 mg,6 tablets,496.81,paracetamol 200mg,12
Cetsol 20,Abbott India,Zinc Sulphate (200 mg),5 ml,329.01,zinc sulphate 200mg,0
Brucap 40,Cipla,Tramadol 1000  mg,6 tablets,317.96,tramadol 1000mg,3
Metod 20,Sun Pharma,atorvastatin 5mg,6 tablets,492.32,atorvastatin 5mg,16
Azeetab 20,Alkem Labs,tramadol 100mg,10 tablets,124.36,tramadol 100mg,1
Pancap 10,Pfizer India,methylcobalamin(5mg),6 tablets,453.25,methylcobalamin 5mg,14
Azeetab 20,Hetero Drugs,Paracetamol (40 mg),30 tablets,200.82,paracetamol 40mg,8
Panforte 10,Sanofi India,Cetirizine 1000 mg,1 bottle,498.89,cetirizine 1000mg,15
Augplus 250,Glenmark,Metoprolol 5  mg,5 ml,219.65,metoprolol 5mg,7
Brusr 10,Wockhardt,ASPIRIN-250mg,10 tablets,321.68,aspirin 250mg,18
Cetxr 1000,GSK India,pantoprazole(200mg),6 tablets,210.23,pantoprazole 200mg,6
Amoxforte 250,Wockhardt,ondansetron(100mg),1 bottle,419.08,ondansetron 100mg,18
Amoxplus 40,Pfizer India,rosuvastatin 40mg,6 tablets,488.04,rosuvastatin 40mg,14
Pantab 20,Dabur Pharma,Levothyroxine 20 mg,10 capsules,224.26,levothyroxine 20mg,4
Metds 1000,GSK India,Azithromycin 250  mg,15 tablets,52.14,azithromycin 250mg,6
Bruds 250,Hetero Drugs,Levocetirizine (40 mg),10 tablets,582.57,levocetirizine 40mg,8
Bruforte 40,Abbott India,doxycycline(1000mg),30 tablets,43.84,doxycycline 1000mg,0
Doloxr 500,Intas Pharma,FEXOFENADINE-500mg,6 tablets,415.39,fexofenadine 500mg,10
Dolocap 1000,Intas Pharma,METHYLCOBALAMIN-20mg,10 capsules,463.43,methylcobalamin 20mg,10
Omexr 250,Zydus Cadila,domperidone 40mg,1 bottle,401.73,domperidone 40mg,19
Amoxsr 10,Himalaya,Pantoprazole 5  mg,1 bottle,436.22,pantoprazole 5mg,9
Azeeforte 40,Alkem Labs,Doxycycline (40 mg),6 tablets,596.2,doxycycline 40mg,1
Mettab 20,Lupin,ranitidine(10 mg),10 capsules,99.77,ranitidine 10mg,11
Panxr 500,Zydus Cadila,OMEPRAZOLE-40mg,10 capsules,214.32,omeprazole 40mg,19
Doloplus 250,Torrent Pharma,cetirizine 5 mg,30 tablets,507.24,cetirizine 5mg,17
Pancin 500,Torrent Pharma,Clonazepam (400mg),5 ml,213.52,clonazepam 400mg,17
Metforte 40,Wockhardt,PANTOPRAZOLE-5mg,1 bottle,187.24,pantoprazole 5mg,18
Augtab 10,Aurobindo Pharma,diclofenac(200 mg),30 tablets,498.36,diclofenac 200mg,2
Dolocin 20,Zydus Cadila,AMLODIPINE-1000mg,5 ml,255.35,amlodipine 1000mg,19
Metplus 10,Intas Pharma,Gabapentin 250  mg,6 tablets,236.87,gabapentin 250mg,10
Cetforte 20,Sun Pharma,GABAPENTIN-40mg,10 capsules,268.1,gabapentin 40mg,16
Augcap 40,Cipla,Pregabalin 100 mg,10 tablets,241.33,pregabalin 100mg,3
Clavcin 20,Aurobindo Pharma,PARACETAMOL-400mg,30 tablets,496.62,paracetamol 400mg,2
Omexr 500,Dr Reddy,fluoxetine(100mg),6 tablets,158.44,fluoxetine 100mg,5
Omexr 10,Cipla,Amoxicillin (400mg),6 tablets,147.04,amoxicillin 400mg,3
Cetod 1000,Aurobindo Pharma,clopidogrel(20 mg),15 tablets,52.96,clopidogrel 20mg,2
Panxr 40,Wockhardt,alprazolam(100mg),10 tablets,589.6,alprazolam 100mg,18
Bruod 250,Sun Pharma,Metformin 40 mg,30 tablets,385.19,metformin 40mg,16
Brucap 1000,Dabur Pharma,clopidogrel(5mg),10 tablets,172.25,clopidogrel 5mg,4
Augsol 500,Intas Pharma,fluoxetine(400 mg),30 tablets,546.23,fluoxetine 400mg,10
Azeeod 500,Alkem Labs,RANITIDINE-200mg,5 ml,213.15,ranitidine 200mg,1
Pansr 500,Dr Reddy,Paracetamol (20 mg),6 tablets,372.99,paracetamol 20mg,5
Augtab 1000,Wockhardt,Ibuprofen (500 mg),1 bottle,328.21,ibuprofen 500mg,18
Augod 1000,Dr Reddy,Domperidone 10 mg,30 tablets,219.24,domperidone 10mg,5
Clavcap 500,Intas Pharma,METHYLCOBALAMIN-400mg,5 ml,11.43,methylcobalamin 400mg,10
Azeeod 40,Mankind Pharma,pregabalin 1000mg,10 tablets,217.7,pregabalin 1000mg,12
Cetxr 20,Lupin,Ondansetron (400 mg),5 ml,262.63,ondansetron 400mg,11
Cetplus 40,Abbott India,Levothyroxine 500 mg,6 tablets,551.48,levothyroxine 500mg,0
Cetforte 250,Abbott India,Glimepiride (400mg),5 ml,447.19,glimepiride 400mg,0
Azeeplus 1000,Novartis India,ONDANSETRON-20mg,15 tablets,35.99,ondansetron 20mg,13
Metod 20,Hetero Drugs,Ciprofloxacin 40  mg,30 tablets,358.39,ciprofloxacin 40mg,8
Pands 10,Alkem Labs,Rosuvastatin (5 mg),15 tablets,387.21,rosuvastatin 5mg,1
Pands 1000,Himalaya,LEVOCETIRIZINE-400mg,6 tablets,488.79,levocetirizine 400mg,9
Clavcin 1000,Lupin,Telmisartan 5  mg,30 tablets,77.81,telmisartan 5mg,11
Pansr 1000,Cipla,Fluoxetine (40mg),10 capsules,179.05,fluoxetine 40mg,3
Augplus 40,GSK India,Methylcobalamin (10mg),10 tablets,13.85,methylcobalamin 10mg,6
Bruforte 40,Torrent Pharma,ondansetron(5 mg),10 capsules,560.59,ondansetron 5mg,17
Augcap 500,Aurobindo Pharma,Telmisartan 1000  mg,10 tablets,241.1,telmisartan 1000mg,2
Azeetab 20,Zydus Cadila,Sertraline (200mg),10 tablets,8.93,sertraline 200mg,19
Azeeod 40,Zydus Cadila,alprazolam 20mg,5 ml,174.97,alprazolam 20mg,19
Bruod 40,Sun Pharma,Esomeprazole 10 mg,15 tablets,202.54,esomeprazole 10mg,16
Pansol 40,Intas Pharma,fexofenadine(10 mg),10 capsules,446.41,fexofenadine 10mg,10
Amoxds 250,Glenmark,Clonazepam 1000 mg,15 tablets,155.11,clonazepam 1000mg,7
Clavsol 250,Sanofi India,telmisartan(40mg),15 tablets,131.84,telmisartan 40mg,15
Azeeds 1000,Aurobindo Pharma,ASPIRIN-500mg,10 tablets,119.42,aspirin 500mg,2
Omeplus 20,Sun Pharma,tramadol 400mg,10 tablets,487.33,tramadol 400mg,16
Augsr 250,GSK India,tramadol 250 mg,15 tablets,171.07,tramadol 250mg,6
Clavplus 1000,Novartis India,Methylcobalamin 10  mg,10 tablets,495.15,methylcobalamin 10mg,13
Brutab 250,Abbott India,Methylcobalamin 40  mg,10 capsules,400.69,methylcobalamin 40mg,0
Clavtab 250,Aurobindo Pharma,CLOPIDOGREL-40mg,10 capsules,315.18,clopidogrel 40mg,2
Amoxsol 250,Wockhardt,azithromycin 40 mg,10 capsules,288.49,azithromycin 40mg,18
Augtab 40,Pfizer India,cetirizine(5 mg),6 tablets,433.59,cetirizine 5mg,14
Cetsol 10,Sanofi India,cetirizine 1000 mg,1 bottle,154.37,cetirizine 1000mg,15
Brusr 250,Pfizer India,losartan 400 mg,10 capsules,565.01,losartan 400mg,14
Clavtab 500,Novartis India,Pantoprazole (400 mg),15 tablets,510.9,pantoprazole 400mg,13
Clavod 250,Mankind Pharma,gabapentin 5 mg,30 tablets,377.72,gabapentin 5mg,12
Doloforte 500,Novartis India,glimepiride 10mg,5 ml,283.4,glimepiride 10mg,13
Omeds 1000,Wockhardt,Telmisartan 5 mg,15 tablets,226.1,telmisartan 5mg,18
Amoxplus 20,Dabur Pharma,Fluoxetine 10 mg,5 ml,428.31,fluoxetine 10mg,4
Pansr 20,Wockhardt,Aspirin (10mg),30 tablets,295.87,aspirin 10mg,18
Doloplus 500,Sanofi India,pantoprazole(40mg),6 tablets,276.44,pantoprazole 40mg,15
Dolotab 40,Dabur Pharma,vitamin d3(40 mg),15 tablets,552.46,vitamin d3 40mg,4
Dolods 10,Torrent Pharma,levocetirizine 10 mg,1 bottle,503.1,levocetirizine 10mg,17
Dolosol 20,Cipla,Aspirin (40 mg),5 ml,448.95,aspirin 40mg,3
Omeds 1000,GSK India,Vitamin d3 500 mg,1 bottle,123.46,vitamin d3 500mg,6
Panplus 250,Abbott India,cetirizine 40 mg,6 tablets,578.1,cetirizine 40mg,0
Omexr 40,Lupin,metformin 500mg,15 tablets,242.93,metformin 500mg,11
Augod 40,Lupin,Sertraline 250 mg,15 tablets,443.11,sertraline 250mg,11
Amoxcap 40,Wockhardt,Doxycycline (250 mg),5 ml,279.44,doxycycline 250mg,18
Omesr 40,Sanofi India,IBUPROFEN-100mg,10 capsules,249.06,ibuprofen 100mg,15
Doloplus 500,Zydus Cadila,Pantoprazole (20 mg),6 tablets,570.85,pantoprazole 20mg,19
Amoxxr 1000,Glenmark,Ciprofloxacin (200 mg),10 capsules,532.39,ciprofloxacin 200mg,7
Pansol 10,Sanofi India,Glimepiride 1000  mg,15 tablets,375.25,glimepiride 1000mg,15
Omesol 1000,Mankind Pharma,Levothyroxine (500 mg),1 bottle,25.47,levothyroxine 500mg,12
Panxr 10,Zydus Cadila,CIPROFLOXACIN-1000mg,5 ml,267.92,ciprofloxacin 1000mg,19
Cettab 40,Mankind Pharma,PARACETAMOL-250mg,30 tablets,518.56,paracetamol 250mg,12
Dolosr 500,Sanofi India,PREGABALIN-1000mg,10 tablets,118.58,pregabalin 1000mg,15
Doloforte 1000,Aurobindo Pharma,diclofenac(400 mg),30 tablets,86.96,diclofenac 400mg,2
Panforte 500,Hetero Drugs,diclofenac 250mg,1 bottle,376.75,diclofenac 250mg,8
Cetsol 1000,Intas Pharma,gabapentin 40 mg,10 tablets,557.6,gabapentin 40mg,10
Azeexr 20,Mankind Pharma,Gabapentin 200  mg,30 tablets,97.08,gabapentin 200mg,12
Dolotab 1000,Mankind Pharma,Ibuprofen 500 mg,30 tablets,59.74,ibuprofen 500mg,12
Augds 1000,Himalaya,Diclofenac (500 mg),15 tablets,356.07,diclofenac 500mg,9
Amoxforte 20,Torrent Pharma,RANITIDINE-20mg,5 ml,390.65,ranitidine 20mg,17
Amoxxr 250,Lupin,FLUOXETINE-10mg,15 tablets,242.85,fluoxetine 10mg,11
Cetcap 40,Abbott India,metoprolol 10 mg,15 tablets,476.19,metoprolol 10mg,0
Amoxds 40,Sun Pharma,Amoxicillin (5 mg),10 tablets,72.02,amoxicillin 5mg,16
Azeeod 40,Torrent Pharma,zinc sulphate(400 mg),10 tablets,156.63,zinc sulphate 400mg,17
Azeeod 20,Glenmark,Paracetamol (5 mg),10 capsules,524.59,paracetamol 5mg,7
Pansol 500,Lupin,alprazolam(500mg),30 tablets,175.31,alprazolam 500mg,11
Brusol 1000,Cipla,Amoxicillin (400 mg),30 tablets,574.66,amoxicillin 400mg,3
Cettab 500,Cipla,fexofenadine(200 mg),6 tablets,599.79,fexofenadine 200mg,3
Omecap 1000,Sun Pharma,Methylcobalamin 100 mg,15 tablets,544.18,methylcobalamin 100mg,16
Dolood 20,Lupin,losartan(20mg),15 tablets,519.46,losartan 20mg,11
Azeeplus 20,Sanofi India,tramadol(200mg),5 ml,541.66,tramadol 200mg,15
Pansol 500,Himalaya,Ranitidine (1000 mg),15 tablets,54.79,ranitidine 1000mg,9
Omexr 10,GSK India,esomeprazole 10 mg,6 tablets,217.82,esomeprazole 10mg,6
Clavforte 250,Intas Pharma,Cetirizine (5mg),10 capsules,187.5,cetirizine 5mg,10
Dolocin 20,Aurobindo Pharma,Ondansetron (100mg),30 tablets,236.29,ondansetron 100mg,2
Cetsol 250,Zydus Cadila,METHYLCOBALAMIN-250mg,5 ml,287.28,methylcobalamin 250mg,19
Cetxr 250,Torrent Pharma,Pregabalin 40  mg,10 tablets,536.42,pregabalin 40mg,17
Brutab 20,Glenmark,esomeprazole 40 mg,10 capsules,449.56,esomeprazole 40mg,7
Azeesol 1000,Intas Pharma,DOMPERIDONE-200mg,10 tablets,168.61,domperidone 200mg,10
Clavds 20,Sanofi India,metoprolol(40 mg),30 tablets,81.99,metoprolol 40mg,15
Cetforte 40,Dabur Pharma,Rabeprazole 500  mg,15 tablets,549.9,rabeprazole 500mg,4
Bruds 500,Zydus Cadila,TRAMADOL-10mg,15 tablets,57.08,tramadol 10mg,19
Clavforte 1000,Alkem Labs,losartan(10mg),10 capsules,383.79,losartan 10mg,1
Omesr 10,Sanofi India,AMOXICILLIN-40mg,10 tablets,55.75,amoxicillin 40mg,15
Bruod 1000,Sun Pharma,methylcobalamin 100mg,15 tablets,166.33,methylcobalamin 100mg,16
Metod 250,Intas Pharma,Doxycycline (200mg),6 tablets,26.15,doxycycline 200mg,10
Clavcin 10,Wockhardt,Azithromycin 5  mg,1 bottle,257.84,azithromycin 5mg,18
Ometab 40,Cipla,SERTRALINE-40mg,6 tablets,524.51,sertraline 40mg,3
Azeecap 10,Pfizer India,ALPRAZOLAM-200mg,5 ml,18.56,alprazolam 200mg,14
Metsol 40,Hetero Drugs,sertraline(40 mg),6 tablets,559.99,sertraline 40mg,8
Amoxcap 1000,Zydus Cadila,vitamin d3(400mg),15 tablets,531.96,vitamin d3 400mg,19
Augforte 250,Torrent Pharma,Ranitidine 20  mg,30 tablets,105.59,ranitidine 20mg,17
Bruds 10,Abbott India,rabeprazole(5mg),10 capsules,328.88,rabeprazole 5mg,0
Clavds 500,Glenmark,Ibuprofen 100 mg,6 tablets,226.16,ibuprofen 100mg,7
Metod 500,Aurobindo Pharma,Diclofenac (40 mg),10 capsules,319.52,diclofenac 40mg,2
Omexr 40,Intas Pharma,metformin 20mg,1 bottle,401.78,metformin 20mg,10
Omeds 20,Pfizer India,Glimepiride 10  mg,10 capsules,313.93,glimepiride 10mg,14
Amoxforte 20,Glenmark,omeprazole(400mg),10 capsules,87.96,omeprazole 400mg,7
Dolocin 250,Mankind Pharma,Pregabalin 250  mg,15 tablets,374.31,pregabalin 250mg,12
Metds 20,Aurobindo Pharma,METHYLCOBALAMIN-10mg,6 tablets,232.41,methylcobalamin 10mg,2
Augds 40,Himalaya,Methylcobalamin 40  mg,10 tablets,381.94,methylcobalamin 40mg,9
Pantab 40,Lupin,ibuprofen(500mg),10 tablets,159.27,ibuprofen 500mg,11
Omeforte 10,Mankind Pharma,Levocetirizine 500 mg,30 tablets,199.43,levocetirizine 500mg,12
Amoxcap 40,GSK India,losartan(500 mg),15 tablets,111.3,losartan 500mg,6
Cetod 1000,Wockhardt,Glimepiride 200  mg,30 tablets,491.14,glimepiride 200mg,18
Augcap 40,Lupin,Rosuvastatin 10 mg,10 capsules,204.48,rosuvastatin 10mg,11
Brusr 1000,Glenmark,LOSARTAN-5mg,15 tablets,407.9,losartan 5mg,7
Dolods 10,Aurobindo Pharma,DOXYCYCLINE-200mg,5 ml,199.02,doxycycline 200mg,2
Amoxcin 10,Dabur Pharma,Montelukast 200  mg,10 tablets,548.18,montelukast 200mg,4
Clavod 250,Wockhardt,Ranitidine (5 mg),10 tablets,292.97,ranitidine 5mg,18
Omesr 250,GSK India,levocetirizine 40 mg,15 tablets,452.41,levocetirizine 40mg,6
Metcin 500,Sanofi India,Esomeprazole 1000  mg,6 tablets,98.95,esomeprazole 1000mg,15
Azeesr 40,Hetero Drugs,METHYLCOBALAMIN-500mg,30 tablets,443.67,methylcobalamin 500mg,8
Pansr 500,Dr Reddy,paracetamol(40 mg),6 tablets,317.37,paracetamol 40mg,5
Omecap 40,Wockhardt,tramadol 1000 mg,6 tablets,232.3,tramadol 1000mg,18
Clavxr 500,Abbott India,Calcium carbonate 5 mg,10 tablets,517.49,calcium carbonate 5mg,0
Panod 1000,Himalaya,MONTELUKAST-200mg,5 ml,45.67,montelukast 200mg,9
Brusol 10,Cipla,Ondansetron (5mg),6 tablets,93.9,ondansetron 5mg,3
Pansr 20,Aurobindo Pharma,Metformin (500 mg),30 tablets,281.69,metformin 500mg,2
Metforte 500,Lupin,metformin(100mg),10 tablets,525.2,metformin 100mg,11
Cetod 1000,Mankind Pharma,aspirin 10 mg,1 bottle,351.8,aspirin 10mg,12
Clavod 250,Dabur Pharma,omeprazole(40mg),1 bottle,200.79,omeprazole 40mg,4
Metsol 40,Zydus Cadila,Sertraline (250mg),10 capsules,496.62,sertraline 250mg,19
Amoxxr 250,GSK India,ALPRAZOLAM-200mg,5 ml,100.71,alprazolam 200mg,6
Augtab 40,Hetero Drugs,Gabapentin (100mg),1 bottle,88.16,gabapentin 100mg,8
Clavforte 10,Dr Reddy,telmisartan 40mg,6 tablets,453.71,telmisartan 40mg,5
Cetsol 40,Dabur Pharma,esomeprazole(250 mg),15 tablets,226.21,esomeprazole 250mg,4
Brusol 250,Sun Pharma,Levothyroxine 400  mg,5 ml,472.03,levothyroxine 400mg,16
Azeesr 20,Hetero Drugs,RANITIDINE-400mg,15 tablets,370.58,ranitidine 400mg,8
Augcap 10,Wockhardt,domperidone(500 mg),30 tablets,319.54,domperidone 500mg,18
Pansr 40,Hetero Drugs,telmisartan 10 mg,30 tablets,97.33,telmisartan 10mg,8
Pands 20,Hetero Drugs,paracetamol(10mg),6 tablets,37.08,paracetamol 10mg,8
Omecin 1000,Glenmark,Montelukast (500 mg),10 capsules,321.63,montelukast 500mg,7
Amoxplus 10,Dabur Pharma,Pregabalin 10  mg,1 bottle,265.66,pregabalin 10mg,4
Bruplus 10,Alkem Labs,Pregabalin 10  mg,5 ml,459.57,pregabalin 10mg,1
Clavxr 500,Torrent Pharma,Montelukast 20  mg,6 tablets,125.59,montelukast 20mg,17
Omeod 250,Mankind Pharma,Metoprolol 20 mg,10 capsules,212.2,metoprolol 20mg,12
Dolocin 1000,Abbott India,Doxycycline 400  mg,30 tablets,578.47,doxycycline 400mg,0
Brucin 20,GSK India,levothyroxine 250mg,15 tablets,291.09,levothyroxine 250mg,6
Azeetab 10,Lupin,gabapentin(250 mg),10 capsules,452.81,gabapentin 250mg,11
Augds 20,Alkem Labs,rabeprazole 10 mg,10 capsules,215.24,rabeprazole 10mg,1
Mettab 40,Pfizer India,calcium carbonate 500 mg,10 tablets,370.35,calcium carbonate 500mg,14
Clavforte 500,Wockhardt,Calcium Carbonate (1000 mg),15 tablets,208.66,calcium carbonate 1000mg,18
Cetsol 20,Mankind Pharma,Telmisartan 400 mg,10 tablets,170.31,telmisartan 400mg,12
Azeesr 1000,Himalaya,atorvastatin(1000mg),5 ml,229.0,atorvastatin 1000mg,9
Pancin 1000,Dabur Pharma,CIPROFLOXACIN-20mg,10 tablets,356.8,ciprofloxacin 20mg,4
Azeeforte 1000,Aurobindo Pharma,AZITHROMYCIN-20mg,30 tablets,27.19,azithromycin 20mg,2
Brucap 40,Mankind Pharma,ciprofloxacin 200mg,30 tablets,445.72,ciprofloxacin 200mg,12
Bruforte 500,Cipla,DOMPERIDONE-400mg,5 ml,127.69,domperidone 400mg,3
Azeecin 20,Himalaya,esomeprazole 40 mg,6 tablets,242.4,esomeprazole 40mg,9
Azeesr 40,Sanofi India,Azithromycin (1000 mg),1 bottle,200.53,azithromycin 1000mg,15
Brusol 250,Alkem Labs,Pregabalin 20 mg,1 bottle,356.09,pregabalin 20mg,1
Panod 10,Aurobindo Pharma,Alprazolam 400 mg,1 bottle,397.15,alprazolam 400mg,2
Amoxplus 1000,Cipla,Levothyroxine (250 mg),6 tablets,399.76,levothyroxine 250mg,3
Omecin 10,Sun Pharma,ondansetron(40mg),6 tablets,370.4,ondansetron 40mg,16
Azeecap 1000,Zydus Cadila,metoprolol 1000 mg,1 bottle,179.47,metoprolol 1000mg,19
Ometab 10,Wockhardt,montelukast 1000mg,1 bottle,269.71,montelukast 1000mg,18
Doloforte 500,Sun Pharma,alprazolam 5 mg,1 bottle,416.88,alprazolam 5mg,16
Metcin 10,Dr Reddy,tramadol 250mg,5 ml,366.76,tramadol 250mg,5
Augod 20,Glenmark,ranitidine(40 mg),15 tablets,464.38,ranitidine 40mg,7
Augtab 10,Dr Reddy,methylcobalamin 40mg,15 tablets,150.87,methylcobalamin 40mg,5
Azeesol 250,Sanofi India,Domperidone (200 mg),30 tablets,249.53,domperidone 200mg,15
Augcap 500,Lupin,doxycycline(10 mg),1 bottle,325.15,doxycycline 10mg,11
Dolood 1000,GSK India,Amoxicillin 1000  mg,30 tablets,273.75,amoxicillin 1000mg,6
Augsr 40,Sun Pharma,Levothyroxine (100mg),30 tablets,85.46,levothyroxine 100mg,16
Azeeds 250,Dabur Pharma,ranitidine(250 mg),6 tablets,23.27,ranitidine 250mg,4
Dolosr 20,Zydus Cadila,Levothyroxine 5  mg,15 tablets,180.84,levothyroxine 5mg,19
Amoxtab 250,Sun Pharma,metoprolol(500mg),15 tablets,477.44,metoprolol 500mg,16
Bruxr 250,Abbott India,tramadol(100mg),10 tablets,317.61,tramadol 100mg,0
Bruxr 250,Hetero Drugs,azithromycin 1000mg,6 tablets,144.73,azithromycin 1000mg,8
Amoxforte 20,Cipla,Diclofenac (500 mg),10 tablets,186.11,diclofenac 500mg,3
Clavod 40,Sun Pharma,Amlodipine 20 mg,1 bottle,29.99,amlodipine 20mg,16
Dolods 250,Wockhardt,montelukast 400mg,6 tablets,552.83,montelukast 400mg,18
